Height	Weight
174.863	77.8929
167.431	71.69
157.067	51.2712
172.367	75.3819
160.555	54.7567
159.234	50.1939
163.581	64.6451
175.479	70.0492
163.019	53.9628
162.685	63.911
167.72	83.9891
163.296	56.6657
160.21	59.1372
173.324	76.6249
163.514	56.4531
172.583	81.2748
171.667	81.8149
166.827	56.4641
176.749	75.9497
179.98	92.3422
160.768	64.6239
173.932	73.8553
164.928	60.8542
171.179	75.3938
158.077	58.4081
166.308	74.3017
157.008	53.3489
175.61	82.5724
167.568	64.3886
177.932	91.302
160.936	54.499
167.865	65.0919
181.262	84.5933
183.792	90.9791
170.624	84.0205
159.966	52.5079
166.521	62.0137
180.396	72.2206
170.032	76.8276
159.6	56.9855
180.931	82.2506
166.443	60.3346
173.972	82.47
160.155	53.1938
172.23	69.0265
177.182	72.829
181.243	77.749
161.108	55.1219
159.895	49.0605
170.736	73.6046
157.817	51.955
173.656	74.0456
162.764	59.7395
162.678	68.1272
180.636	90.8659
158.724	43.966
170.978	79.401
163.957	73.9118
166.16	58.0978
157.082	48.9657
165.272	62.2644
184.633	89.4071
163.673	68.5803
177.535	67.0482
183.942	92.7861
179.833	85.8701
176.438	78.498
162.899	55.2729
171.5	73.7577
183.591	85.7047
176.487	71.7253
182.331	83.4472
175.141	73.1281
166.668	62.2105
158.834	49.984
163.178	69.298
160.846	65.3557
177.84	78.7067
166.707	65.0311
173.175	78.1785
161.714	56.1251
158.063	52.2512
179.881	76.1255
179.749	70.7801
162.276	64.568
167.446	72.5796
177.837	87.9862
162.215	55.4799
168.586	64.6601
163.468	52.7217
175.301	83.9457
178.402	80.5663
180.377	85.5476
162.942	56.74
183.935	84.879
164.312	64.5078
181.186	83.8525
160.552	48.5097
167.385	75.9716
175.814	76.1859
