xx	yy
0.478852	5.03227
1.18654	6.39201
0.431975	5.20052
0.657112	6.28876
0.136545	4.14239
1.45131	9.81919
1.22448	8.5333
0.23401	4.4803
1.37473	6.52097
0.290037	5.00932
1.92506	10.4838
1.55456	9.04518
1.8067	7.40021
1.56876	9.76688
1.01737	9.01826
0.263941	4.33758
0.45962	5.41208
1.23349	6.47431
1.53789	10.8346
1.07481	6.45011
0.735433	6.04956
1.33937	6.62827
0.813503	5.60836
0.713901	4.90012
1.4199	8.55361
1.11454	6.30367
1.99398	9.36262
0.74769	8.14063
1.40186	8.02378
1.08798	6.27184
0.888767	5.94289
0.601421	6.42351
1.22016	9.08281
1.29666	7.53694
1.74123	9.87935
1.18856	7.60166
0.303439	4.65399
1.63744	10.0535
0.320696	5.11326
1.32139	6.9902
0.35327	5.37684
0.968397	7.53653
1.42711	8.1013
0.962403	6.98587
0.281517	4.8924
1.46157	8.75087
1.62459	12.2704
1.44764	8.84016
1.34346	10.2364
0.528226	5.43364
0.552147	4.34458
1.6834	8.92476
1.0315	7.41596
1.65618	10.5353
1.25946	8.90866
1.08377	6.57001
1.65122	6.20191
1.35563	6.29844
1.38855	7.29905
0.438357	4.55789
1.80071	9.53292
0.263232	4.4651
0.252502	4.90094
0.306394	4.78973
0.68762	5.60525
0.0169338	4.0472
0.264164	4.83394
1.45109	7.85431
1.65918	9.70714
0.0270564	4.06113
0.134037	4.46091
0.22371	4.49864
0.59053	5.68582
0.269568	4.87145
1.3297	9.60211
0.633181	6.13263
0.654077	7.01556
0.324117	5.29241
0.128134	4.36806
1.48267	8.34055
1.4215	9.17769
0.982972	7.2968
1.71988	9.48481
1.01526	7.44365
1.15206	7.15904
0.507795	5.66075
1.31391	8.21459
1.30441	8.33182
0.127599	4.30889
0.0706855	4.25302
1.30336	8.47035
0.65463	6.03524
1.82918	12.1838
1.37363	8.7542
1.20894	8.53453
1.92977	12.0828
1.67698	8.86659
1.28595	9.11764
0.510549	6.65626
0.681824	5.73904
